f	u
20	450.0
30	460.0
40	470.0
50	475.0
60	470.0
70	470.0
80	470.0
90	470.0
100	470.0
120	470.0
140	470.0
200	470.0
2000	470.0
4000	470.0
8000	460.0
9000	460.0
10000	460.0
20000	450.0
30000	450.0
40000	440.0
50000	430.0
60000	430.0
70000	430.0
80000	430.0
90000	425.0
100000	422.5
110000	420.0
120000	420.0
130000	420.0
140000	420.0
150000	415.0
160000	410.0
180000	410.0
190000	410.0
200000	410.0
